id,student_count,pv_kw_t,bat_kw_t,demand_e,pv_kw_e,bat_kw_e,capex,capex_oem,npv_e,npv_demand_e,lcoe_e,opex,co2_e
1964,301.48,120,172.800003051758,3617.76,3.96,5.71,5626.37,112.53,8427.69,48703.05,0.173,182.48,1.1939
743,301.65,144,201.600006103516,3619.8,4.76,6.66,6696.68,133.93,9997.44,48730.51,0.2052,215.51,1.1945
1921,303.93,120,172.800003051758,3647.16,4.0,5.76,5680.7,113.61,8507.73,49098.84,0.1733,184.17,1.2036
1852,304.01,120,172.800003051758,3648.12,4.0,5.76,5680.7,113.61,8507.73,49111.76,0.1732,184.17,1.2039
541,306.16,144,201.600006103516,3673.92,4.83,6.76,6795.83,135.92,10145.89,49459.08,0.2051,218.73,1.2124
212,307.4,132,230.399993896484,3688.8,4.45,7.76,6760.32,135.21,10346.54,49659.4,0.2084,230.27,1.2173
1310,307.72,144,230.399993896484,3692.64,4.86,7.77,7153.47,143.07,10840.09,49711.1,0.2181,238.25,1.2186
2025,308.34,120,172.800003051758,3700.08,4.05,5.84,5754.31,115.09,8619.39,49811.26,0.173,186.63,1.221
197,309.04,132,230.399993896484,3708.48,4.47,7.8,6792.38,135.85,10396.37,49924.34,0.2082,231.4,1.2238
499,310.49,132,230.399993896484,3725.88,4.49,7.84,6824.43,136.49,10446.2,50158.58,0.2083,232.53,1.2295
808,313.27,132,230.399993896484,3759.24,4.53,7.91,6885.28,137.71,10539.4,50607.68,0.2083,234.61,1.2405
1233,314.49,132,230.399993896484,3773.88,4.55,7.94,6914.07,138.28,10582.64,50804.77,0.2083,235.54,1.2454
2560,316.65,120,172.800003051758,3799.8,4.16,6.0,5911.05,118.22,8854.33,51153.71,0.1731,191.72,1.2539
97,319.16,156,201.600006103516,3829.92,5.46,7.05,7489.43,149.79,11083.39,51559.19,0.215,236.15,1.2639
588,321.03,144,201.600006103516,3852.36,5.07,7.09,7131.59,142.63,10646.13,51861.28,0.2053,229.48,1.2713
1929,323.53,120,172.800003051758,3882.36,4.25,6.13,6039.0,120.78,9046.04,52265.15,0.1731,195.87,1.2812
2769,323.55,120,172.800003051758,3882.6,4.25,6.13,6039.0,120.78,9046.04,52268.38,0.1731,195.87,1.2813
2030,325.31,120,172.800003051758,3903.72,4.28,6.16,6077.3,121.55,9101.28,52552.7,0.1732,197.01,1.2882
506,326.54,144,201.600006103516,3918.48,5.15,7.21,7246.77,144.94,10819.49,52751.4,0.2051,233.26,1.2931
2991,328.04,120,172.800003051758,3936.48,4.31,6.21,6122.12,122.44,9169.44,52993.72,0.173,198.51,1.299
980,328.48,132,230.399993896484,3941.76,4.75,8.29,7218.31,144.37,11048.53,53064.8,0.2082,245.92,1.3008
802,331.03,132,230.399993896484,3972.36,4.79,8.36,7279.16,145.58,11141.61,53476.75,0.2083,247.99,1.3109
